Start(sec),Duration(nsec),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem,DymSMem,Bytes,Thru(MB/s),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
11.738068,11711,131,,,,,,,,,,92928,7935.104,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
11.739387,2144,143,,,,,,,,,,256,119.403,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
11.740123,107424,159,,,,,,,,,,1228800,11438.785,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
11.740457,2176,171,,,,,,,,,,768,352.941,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
11.740772,413567,183,,,,,,,,,,2654208,6417.843,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
11.741371,2240,195,,,,,,,,,,1536,685.714,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
11.741676,657759,207,,,,,,,,,,3538944,5380.305,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
11.742624,2208,219,,,,,,,,,,1024,463.768,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
11.742950,343264,231,,,,,,,,,,2359296,6873.124,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
11.743545,2208,243,,,,,,,,,,1024,463.768,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
11.744675,35297215,270,,,,,,,,,,150994944,4277.815,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
11.780491,3264,283,,,,,,,,,,16384,5019.608,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
11.781127,15582435,300,,,,,,,,,,67108864,4306.699,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
11.797129,3328,313,,,,,,,,,,16384,4923.077,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
11.797727,3732377,330,,,,,,,,,,16384000,4389.696,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
11.801706,2367,343,,,,,,,,,,4000,1689.903,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
18.213955,2464,378,,,,,,,,,,80,32.468,Pinned,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
18.223979,491455,568,,,,,,,,,,6021120,12251.620,Pinned,Device,NVIDIA A100-SXM4-40GB (0),1,13,[CUDA memcpy HtoD]
18.225737,2464,631,,,,,,,,,,20736,8415.584,Device,,NVIDIA A100-SXM4-40GB (0),1,85,[CUDA memset]
18.225762,2368,632,,,,,,,,,,20736,8756.757,Device,,NVIDIA A100-SXM4-40GB (0),1,86,[CUDA memset]
18.225775,2112,633,,,,,,,,,,20736,9818.182,Device,,NVIDIA A100-SXM4-40GB (0),1,87,[CUDA memset]
18.225794,2400,634,,,,,,,,,,20736,8640.000,Device,,NVIDIA A100-SXM4-40GB (0),1,88,[CUDA memset]
18.226130,2144,665,,,,,,,,,,112,52.239,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
18.237985,167520,2342,946,2,1,8,8,1,80,2304,0,,,,,NVIDIA A100-SXM4-40GB (0),1,7,"void implicit_convolve_sgemm<float, float, 128, 5, 5, 3, 3, 3, 1, false, true, true>(int, int, int, float const*, int, float*, float const*, kernel_conv_params, unsigned long long, int, float, float, int, float const*, float const*, bool, int, int)"
18.238544,166048,2348,946,2,1,8,8,1,80,2304,0,,,,,NVIDIA A100-SXM4-40GB (0),1,7,"void implicit_convolve_sgemm<float, float, 128, 5, 5, 3, 3, 3, 1, false, true, true>(int, int, int, float const*, int, float*, float const*, kernel_conv_params, unsigned long long, int, float, float, int, float const*, float const*, bool, int, int)"
18.238954,166335,2354,946,2,1,8,8,1,80,2304,0,,,,,NVIDIA A100-SXM4-40GB (0),1,7,"void implicit_convolve_sgemm<float, float, 128, 5, 5, 3, 3, 3, 1, false, true, true>(int, int, int, float const*, int, float*, float const*, kernel_conv_params, unsigned long long, int, float, float, int, float const*, float const*, bool, int, int)"
18.239355,74559,2360,60,2,1,512,1,1,32,0,0,,,,,NVIDIA A100-SXM4-40GB (0),1,7,"void cudnn::cnn::im2col4d_kernel<float, long>(cudnn::cnn::im2col4d_params, cudnnConvolutionStruct, cudnnTensor4dStruct, float const*, float*)"
18.239444,160255,2362,946,2,1,8,8,1,76,2304,0,,,,,NVIDIA A100-SXM4-40GB (0),1,7,"void explicit_convolve_sgemm<float, int, 128, 5, 5, 3, 3, 3, 0, false>(int, int, int, float const*, int, float const*, int, float*, kernel_conv_params, unsigned long long, int, unsigned long long, int, float, float, int, float const*, float const*)"
