Start(sec),Duration(nsec),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem,DymSMem,Bytes,Thru(MB/s),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
13.270743,2976,131,,,,,,,,,,6912,2322.581,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.271868,2112,143,,,,,,,,,,256,121.212,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.272390,15456,155,,,,,,,,,,147456,9540.373,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.272511,2144,167,,,,,,,,,,256,119.403,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.272646,27616,179,,,,,,,,,,294912,10679.027,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.272729,2144,191,,,,,,,,,,512,238.806,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.272914,51423,203,,,,,,,,,,589824,11470.043,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.273043,2144,215,,,,,,,,,,512,238.806,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.273622,103008,231,,,,,,,,,,1179648,11452.004,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.273976,2144,243,,,,,,,,,,1024,477.612,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.274310,350752,255,,,,,,,,,,2359296,6726.394,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.274908,2144,267,,,,,,,,,,1024,477.612,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.275225,340063,279,,,,,,,,,,2359296,6937.820,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.275845,2144,291,,,,,,,,,,1024,477.612,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.276172,849471,303,,,,,,,,,,4718592,5554.742,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.277220,2209,315,,,,,,,,,,2048,927.116,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.277586,2041820,327,,,,,,,,,,9437184,4621.947,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.279830,2240,339,,,,,,,,,,2048,914.286,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.280403,2072477,355,,,,,,,,,,9437184,4553.577,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.282676,2272,367,,,,,,,,,,2048,901.408,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.282983,2023165,379,,,,,,,,,,9437184,4664.565,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.285319,2272,391,,,,,,,,,,2048,901.408,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.285958,2039453,407,,,,,,,,,,9437184,4627.311,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.288214,2528,419,,,,,,,,,,2048,810.127,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.288517,2061884,431,,,,,,,,,,9437184,4576.971,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.290867,2272,443,,,,,,,,,,2048,901.408,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.292445,95161284,486,,,,,,,,,,411041792,4319.423,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.388640,3552,499,,,,,,,,,,16384,4612.613,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.389351,15438855,516,,,,,,,,,,67108864,4346.751,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.405213,3776,529,,,,,,,,,,16384,4338.983,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.405762,3635802,546,,,,,,,,,,16384000,4506.296,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.409657,2369,559,,,,,,,,,,4000,1688.476,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
19.747297,2432,594,,,,,,,,,,80,32.895,Pinned,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
19.757901,491712,784,,,,,,,,,,6021120,12245.217,Pinned,Device,NVIDIA A100-SXM4-40GB (0),1,13,[CUDA memcpy HtoD]
19.760169,2623,851,,,,,,,,,,20736,7905.452,Device,,NVIDIA A100-SXM4-40GB (0),1,85,[CUDA memset]
19.760210,2111,852,,,,,,,,,,20736,9822.833,Device,,NVIDIA A100-SXM4-40GB (0),1,86,[CUDA memset]
19.760233,2400,853,,,,,,,,,,20736,8640.000,Device,,NVIDIA A100-SXM4-40GB (0),1,87,[CUDA memset]
19.760262,2145,854,,,,,,,,,,20736,9667.133,Device,,NVIDIA A100-SXM4-40GB (0),1,88,[CUDA memset]
19.760611,2144,885,,,,,,,,,,112,52.239,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
19.803162,345471,2562,15680,2,1,8,8,1,80,2304,0,,,,,NVIDIA A100-SXM4-40GB (0),1,7,"void implicit_convolve_sgemm<float, float, 128, 5, 5, 3, 3, 3, 1, false, true, true>(int, int, int, float const*, int, float*, float const*, kernel_conv_params, unsigned long long, int, float, float, int, float const*, float const*, bool, int, int)"
