Start(sec),Duration(nsec),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem,DymSMem,Bytes,Thru(MB/s),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
10.190370,13184,131,,,,,,,,,,92928,7048.544,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
10.190691,1696,143,,,,,,,,,,256,150.943,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
10.191245,109151,159,,,,,,,,,,1228800,11257.799,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
10.191555,1760,171,,,,,,,,,,768,436.364,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
10.191851,410173,183,,,,,,,,,,2654208,6470.948,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
10.192558,1857,195,,,,,,,,,,1536,827.141,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
10.192858,581020,207,,,,,,,,,,3538944,6090.916,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
10.193631,1792,219,,,,,,,,,,1024,571.429,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
10.193921,412029,231,,,,,,,,,,2359296,5726.044,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
10.194570,1791,243,,,,,,,,,,1024,571.748,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
10.195501,34357729,270,,,,,,,,,,150994944,4394.788,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
10.230326,3456,283,,,,,,,,,,16384,4740.741,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
10.230999,15150877,300,,,,,,,,,,67108864,4429.372,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
10.246553,3679,313,,,,,,,,,,16384,4453.384,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
10.247148,3518377,330,,,,,,,,,,16384000,4656.693,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
10.250891,2112,343,,,,,,,,,,4000,1893.939,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
15.989213,2080,378,,,,,,,,,,80,38.462,Pinned,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
16.003823,511453,568,,,,,,,,,,6021120,11772.577,Pinned,Device,Tesla V100-SXM2-16GB (0),1,13,[CUDA memcpy HtoD]
16.005152,1984,631,,,,,,,,,,15360,7741.935,Device,,Tesla V100-SXM2-16GB (0),1,85,[CUDA memset]
16.005169,1632,632,,,,,,,,,,15360,9411.765,Device,,Tesla V100-SXM2-16GB (0),1,86,[CUDA memset]
16.005189,1568,633,,,,,,,,,,15360,9795.918,Device,,Tesla V100-SXM2-16GB (0),1,87,[CUDA memset]
16.005207,1632,634,,,,,,,,,,15360,9411.765,Device,,Tesla V100-SXM2-16GB (0),1,88,[CUDA memset]
16.005631,2112,665,,,,,,,,,,112,53.030,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
16.036759,197183,822,946,2,1,8,8,1,80,2304,0,,,,,Tesla V100-SXM2-16GB (0),1,7,"void implicit_convolve_sgemm<float, float, 128, 5, 5, 3, 3, 3, 1, false, true, true>(int, int, int, float const*, int, float*, float const*, kernel_conv_params, unsigned long long, int, float, float, int, float const*, float const*, bool, int, int)"
